,route,speed
80,府河路1段-54-、56号,6.488374015686364
88,张家巷5号,7.9391915174214285
83,府河路1段-95号,8.095655332172727
119,正北上街95,8.4273807942125
117,正北上街117号,9.2312833139
100,正东上街3,9.67523077127143
153,通济桥下街198,9.831834801081008
96,正东上街153号,9.958035548716664
118,正北上街80号,10.875051461935714
101,正东上街57号,11.699352446844442
64,富民路3段,11.73699960955
102,正东上街66号,13.08544283405882
35,华新中街97号,13.148813913033331
73,广都上街49号,13.510160696676921
36,华阳大道2段-218号,13.516510856454547
70,广都上街193,13.648445945975
126,正西街65号,13.9746336745875
125,正西街39号,14.158152535546668
61,天明塘街,14.1837688491425
76,广都中街239号,14.339957345141936
152,通济桥下街161,14.742963429579168
98,正东上街181号,14.935855219784848
124,正西街2号,15.286831501514284
99,正东上街192号,15.517415791611539
85,府河路3段,15.606939956445462
81,府河路1段-73-、71号,15.672631119390571
121,正西街175号,15.743659938066665
151,通济桥下街108,15.950980376803845
127,正西街90号,16.246001791882144
149,藕塘街117,16.44576829628
112,正东中街65号,16.49241429096
51,南湖路,16.605571078637304
68,广宁路,16.710745387641673
39,华阳大道3段-159号,16.72858514513846
133,海昌路,16.90919264427367
72,广都上街195号,16.99647704362381
37,华阳大道2段-230,17.170057589161537
75,广都中街237号,17.291390509093755
139,祥鹤一街,17.322725609916667
67,广东街153,17.392269758311116
78,府河路1段-211号,17.46799088114828
38,华阳大道3段,17.529364881544442
106,正东中街103号,17.902908937400003
69,广都上街192号,18.01707724715172
113,正东中街69号,18.048100871899997
145,美岸路一段,18.42052888796904
109,正东中街223号,18.721934167658826
91,新程大道,19.052276245957373
71,广都上街193号,19.324027703173336
156,锦江路3段,19.435844396624535
120,正北中街2号,19.47479808982353
62,天研路,19.599022516060113
122,正西街187号,19.798245624739998
33,华新中街101号,20.19523888568
42,华阳大道4段-311号,20.421241913814285
77,府河路1段,20.427438051073334
50,南湖西路,20.489459734681347
40,华阳大道4段-153号,20.94490552898684
82,府河路1段-89-、88-、85-、83号,21.06716438344755
155,锦江路2段,21.214812451744244
87,府河路二段,21.741385627052697
97,正东上街157号,21.749765287509998
167,龙灯山路,21.77000887127931
54,和顺路一段,21.823387147705557
27,云龙路,21.841082752960418
79,府河路1段-217号,22.04114895796667
74,广都中街235号,22.15996963773542
157,长顺大道一段,22.261198526835418
86,府河路一段,22.640984009209184
134,海洋路,22.685397983705517
47,南湖北路,22.821795470718776
111,正东中街241号,22.93357114959
159,雅和南二路,23.122210169629632
104,正东下街1号,23.1825197204
137,瑞祥西街,23.4163861643775
158,雅和南一路,23.904712522866248
107,正东中街109号,23.9428878178
46,南湖东路,24.441684386101624
146,美岸路二段,24.495606059766253
22,丽都街165号,24.499648005966666
45,协泰北街,24.93485507721667
150,蜀州路,25.008013267482223
49,南湖大道,25.22507699380814
110,正东中街229号,25.64229514497
26,二江路二段,26.043339474425
66,广东街,26.15651466013333
23,丽都街75号,26.437965401040003
5,G108辅路,26.556945164466665
65,富民路4段,26.86313288369074
18,东寺北二路,27.02712181884259
19,东寺街,27.14886760634097
25,二江路1段-307号,27.228111542987502
163,黄龙大道,27.6512386251958
41,华阳大道4段-303号,27.80238123314262
108,正东中街128号,27.81250663833
123,正西街292号,27.9495737209
140,祥鹤二街,28.08960890365
138,瑞祥路,28.105007088403234
130,江畔路,28.68412360152281
105,正东下街91号,28.817518995026663
89,新码头南街47号,29.094334191709994
17,万顺路一段,29.271407100172762
6,G213(两江路),29.41953169458878
3,G108(麓山大道一段),29.514408842053953
11,G213(牧华立交桥),29.554221893916658
84,府河路2段,29.66243729791904
4,G108(麓山大道二段),29.834921810959987
60,天府大道南段辅路,29.897752084593844
8,G213(天府大道南段),30.092835299703722
13,G213(益州大道南二段),30.30269971045079
165,黄龙大道2段,30.359482160601853
147,老成仁路,30.46891980907059
0,,30.948423575053575
34,华新中街162,31.428530061944443
48,南湖南路,32.68122015370599
148,荷韵南路,33.06830055852116
131,沈阳路东段,33.076002790128335
7,G213(天府大道南一段),33.256183009453835
24,二江路1段,33.34784995973611
160,顺兴路,33.94162776503125
95,梓州大道辅路,34.09299548376516
103,正东下街149号,34.21136656782632
20,东山大道一段,34.39567366736528
162,麓山大道一段,34.466674434389496
135,牧华路三段辅路,34.52459102220815
12,G213(益州大道南一段),34.66563254113429
143,绿野路三段,34.79749545831959
132,沈阳路西段,35.2240177141035
63,定安路,35.3844604002125
31,剑南大道南段辅路,36.44149933521087
14,G213(老成仁路),36.47442252095777
136,物联大道,36.83500355658357
56,天府大道南一段辅路,38.44315006777706
10,G213(沈阳路西段),38.51702851975357
43,华阳绕城路,38.926497473260234
21,中彭路,39.37700506819062
142,绿野路一段,40.32641085217272
58,天府大道南二段辅路,41.41057133356527
90,新码头街2,42.740155014829995
1,G108(牧华路三段),43.279419966573535
161,麓山大道1段,43.41809170525398
129,武汉路西段辅路,43.671874258687055
141,红星路南延线,43.80553616419005
114,正公路,43.83095971494445
92,梓州大道,44.93075305754376
16,Y008,45.06298683371761
28,剑南大道南一段,45.18139915385888
52,双兴大道,45.43657890576604
32,华府大道3段,46.27056886481291
115,正公路辅路,46.46326737260635
154,钟灵路,46.63901354388181
94,梓州大道南一段辅路,48.67970297939406
93,梓州大道南一段,50.19868250666269
144,绿野路二段,50.222831341773826
9,G213(成仁路),50.3902205371503
53,双黄路,50.422922355876615
30,剑南大道南段,50.61438014883148
15,X062(剑南大道南段),51.110134298891666
44,协中路,51.269930563467504
116,正兴湾大桥,51.54737388292325
2,G108(牧华路二段),53.01319951289454
59,天府大道南段,53.94089984832908
55,天府大道南一段,55.764023502490566
29,剑南大道南一段辅路,57.57443061018566
128,武汉路西段,61.338588155323315
57,天府大道南二段,64.5093982913992
166,黄龙大道一段,65.0695808323409
164,黄龙大道1段,68.97150487381
