,route,speed
128,正北中街35号,4.712066536158333
25,云龙路,5.772013357265
129,正北中街37号,10.703548952879999
77,广都中街203号,11.608313897299999
43,华阳大道4段,12.6995073405875
83,府河路1段-217号,13.290868966005263
109,正东上街66号,13.412012980745
91,府河路二段,13.489573435672
37,华新中街97号,13.506757290033333
159,美岸路三段,13.513924832526087
58,南湖路,13.538481561381817
108,正东上街57号,13.631546959982142
103,正东上街153号,13.999165163075002
136,正西街60号,14.453417239141666
168,通济桥下街108,14.677936424333334
104,正东上街166号,15.148434269454548
134,正西街2号,15.266992792221949
170,通济桥下街198,15.292622596688886
26,利民一街92,15.309800393988887
38,华阳大道2段-218号,15.481609751146665
47,华阳大道4段-311号,15.561408969445456
82,府河路1段-211号,15.788669179268751
71,广宁路,15.838063687175307
24,二江路二段,15.83948167565139
89,府河路3段,16.102082963722953
84,府河路1段-54-、56号,16.160720659408106
92,张家巷5号,16.215093558872415
127,正北中街2号,16.287971142283826
73,广都上街193,16.581562416962498
137,正西街61号,16.608631826058332
146,海昌路,16.675780355149445
51,协和上街275,16.844656963200002
40,华阳大道3段,16.877015335625
138,正西街65号,17.237615801130765
45,华阳大道4段-200,17.330767804177775
27,利民三街88,17.3409930459
139,正西街90号,17.718201199158067
23,二江路2段-121号,17.744751672225
85,府河路1段-73-、71号,18.257970961240623
79,广都中街237号,18.442031224582696
93,政府街41,18.58822698901333
176,雅和南一路,18.64940565837454
76,广都上街49号,19.09158481438889
80,广都中街239号,19.230793600419997
90,府河路一段,19.26555335393545
81,府河路1段,19.28682905661905
110,正东下街120号,19.29982019826
178,雅和街,19.41014419921111
167,通济桥下街,19.415502782078704
121,正东中街69号,19.564310014956757
50,协和上街127,19.788725024953845
135,正西街39号,20.241503259016664
119,正东中街241号,20.2451768270125
39,华阳大道2段-230,20.365678659377775
72,广都上街192号,20.583700499906385
105,正东上街181号,20.610622330475863
158,美岸路一段,20.750638661792042
75,广都上街195号,21.04771802121875
59,和顺路一段,21.077618491884525
107,正东上街3,21.177218766123808
122,正东中街80号,21.519580155948567
13,G213(益州大道南二段),21.546320203557006
44,华阳大道4段-153号,21.91214740564167
131,正西街187号,21.993274657089998
173,锦江路2段,22.266507200695397
97,新程大道,22.381872730063897
42,华阳大道3段-191号,22.4155437923
53,南湖东路,22.51291288845769
86,府河路1段-89-、88-、85-、83号,22.573821281354675
18,东寺北二路,22.70917694951167
163,荷韵南路,22.83828169535401
41,华阳大道3段-159号,22.873495438880003
67,天研路,22.902247691453272
87,府河路1段-95号,23.35332017403077
57,南湖西路,23.744456473382186
120,正东中街65号,23.80317577024118
115,正东中街109号,24.24727865590345
56,南湖大道,24.331942731700824
112,正东下街1号,24.35440251824286
169,通济桥下街161,24.473824796360418
35,华新中街101号,24.871376883962498
177,雅和南二路,24.885138641934613
118,正东中街229号,25.252697476792303
182,黄龙大道,25.347096894820936
185,龙灯山路,25.40001442411525
5,G108辅路,25.663038242578125
74,广都上街193号,25.673947684860003
46,华阳大道4段-303号,25.720204463873035
52,协泰北街,25.849935700509995
123,正东中街99号,26.290345995166668
94,新码头北街32,26.622214066477778
162,荷韵东路,26.88299649860834
113,正东下街217号,26.936335280359998
106,正东上街192号,26.978770316665848
36,华新中街162,27.009633387222223
78,广都中街235号,27.4153042610245
69,富民路4段,27.869420440553842
147,海洋路,27.964711539696083
54,南湖北路,27.98412321724843
174,锦江路3段,28.176278675788968
132,正西街225号,28.32728021437059
22,二江路1段-307号,28.518453017954542
130,正西街175号,28.71205917434
165,藕塘新街8,28.733610855299997
6,G213(两江路),28.933185920615742
114,正东下街91号,29.355175512590254
95,新码头南街47号,29.407460456316667
161,老成仁路,29.888841630995998
117,正东中街223号,30.204974842376924
70,广东街,30.230901036782477
8,G213(天府大道南段),30.809147782208665
66,天明塘街,30.816784124965388
12,G213(益州大道南一段),31.064780838827126
11,G213(牧华立交桥),31.35817369008261
65,天府大道南段辅路,31.649027465368818
151,瑞祥路,32.20075336628916
140,武汉路东段辅路,32.615939170419345
17,万顺路一段,32.671297235076096
4,G108(麓山大道二段),32.75941338644167
3,G108(麓山大道一段),32.879164131003165
156,绿野路三段,32.95054552921298
181,麓山大道一段,32.95958272788095
21,二江路1段,33.418483342916666
19,东寺街,33.5125314331881
164,荷韵路,33.529383515175
116,正东中街134号,33.712360418925
102,梓林巷,33.804826238185186
7,G213(天府大道南一段),33.92831996051633
179,顺兴路,34.13608143841364
160,美岸路二段,34.34441974097885
96,新码头街2,34.42718614676364
14,G213(老成仁路),34.686184795600006
186,龙马路,34.93051567243881
150,物联大道,34.96936134234444
68,定安路,35.35838104638889
171,通济桥街10,35.36723749285715
143,江畔路,36.281394325246175
55,南湖南路,36.443285371718254
111,正东下街149号,36.473246674430435
166,蜀州路,36.61190842067917
16,Y008,37.08814558679909
33,华府大道3段,37.24267874003863
101,梓州大道辅路,38.314934872960144
148,滨江路,38.538565679115884
88,府河路2段,39.026346247679406
149,牧华路三段辅路,39.06250291311105
20,东山大道一段,39.182149217341546
133,正西街292号,39.474173528375005
61,天府大道南一段辅路,41.103360633818134
153,祥鹤二街,41.46266878570963
48,华阳绕城路,41.487539131355554
126,正兴湾大桥,41.86888189295645
145,沈阳路西段,42.8270154725338
1,G108(牧华路三段),43.07635397018969
0,,43.14604102579653
180,麓山大道1段,44.370342341315045
32,剑和路一段,44.420022097588884
144,沈阳路东段,44.610793216780955
63,天府大道南二段辅路,44.710426974103164
2,G108(牧华路二段),45.29972072366679
98,梓州大道,45.573069913739396
155,红星路南延线,46.0529542604848
31,剑南大道南段辅路,46.293124865235434
142,武汉路西段辅路,46.32635000506594
28,剑南大道南一段,46.50369945146924
175,长顺大道一段,47.32135557845133
99,梓州大道南一段,47.51710854817582
64,天府大道南段,48.30058119346052
100,梓州大道南一段辅路,50.10289689413375
154,空港四路,50.25515539813333
124,正公路,51.06439766542031
141,武汉路西段,51.153580816434015
29,剑南大道南一段辅路,51.23114354227521
60,天府大道南一段,52.7341422598959
9,G213(成仁路),53.19706566830393
30,剑南大道南段,54.84879472413435
125,正公路辅路,56.87013376275362
34,华府大道四段,57.33976555160091
152,益州大道南一段,57.50916621837986
157,绿野路二段,58.78377331794861
15,X062(剑南大道南段),59.37664692969069
62,天府大道南二段,59.803178367709734
172,锦江西43路,59.92468666267802
10,G213(沈阳路西段),65.1551040184375
49,协中路,66.04473754145125
184,黄龙大道一段,71.0298889335375
183,黄龙大道1段,75.27268641627333
