,route,speed,carsnum
94,府河路1段-95号,8.469595382622222,9
29,云龙路,9.59138593403846,13
142,正西街60号,11.618313300286665,15
87,广都中街239号,12.81700361595,29
27,二江路2段-121号,12.896582257579999,10
116,正东下街120号,12.996411239386367,22
110,正东上街170号,14.219583314920001,10
70,天明塘街,14.329698727182498,20
44,华阳大道2段-218号,14.389709266990907,11
115,正东上街66号,15.308238731181476,27
144,正西街65号,15.615891854800001,13
140,正西街2号,16.427620532011385,36
99,张家巷5号,16.510565650833332,27
91,府河路1段-54-、56号,16.618808317291176,34
81,广都上街193,16.669469640866666,9
83,广都上街195号,16.813487263591306,23
113,正东上街3,16.92410670214412,17
109,正东上街153号,16.944221156620003,15
86,广都中街237号,17.01511252895385,39
114,正东上街57号,17.05866880992778,18
171,通济桥下街,17.196578330066668,9
79,广宁路,17.313853577668812,35
165,美岸路三段,17.815394285077776,9
157,物联一路,17.913169197865876,9
31,利民三街88,18.210092649577778,9
30,利民一街92,18.47775704705,8
164,美岸路一段,18.73154229898177,16
46,华阳大道3段,18.74020213325625,16
143,正西街61号,18.89562966533846,13
152,海昌路,19.02648531707973,37
17,丁字街28号,19.068610216869995,10
82,广都上街193号,19.201892759466666,15
77,广东街153,19.27726307695606,11
78,广东街192,19.319126652465,10
128,正东中街65号,19.510386693228,25
174,通济桥下街198,19.528495766764518,62
141,正西街39号,19.666077767135715,14
148,水津街110,19.717730244,8
96,府河路3段,19.725335665209588,53
104,新程大道,19.82717262022823,44
45,华阳大道2段-230,19.827671021806065,33
74,富民路3段-101,20.1709821734375,8
92,府河路1段-73-、71号,20.252507022388283,64
145,正西街90号,20.344568660734286,35
129,正东中街69号,20.45383135622308,26
80,广都上街192号,20.557853030529543,44
98,府河路二段,20.70437493934167,26
49,华阳大道4段-153号,20.715503729514285,14
61,南湖路,21.005630481909137,31
42,华新中街97号,21.279082256933336,9
173,通济桥下街161,21.468799172976468,17
63,和顺路一段,22.159834704501115,9
93,府河路1段-89-、88-、85-、83号,22.568379271753525,98
134,正北上街85号-、83号-、81号,22.60072802214444,9
47,华阳大道3段-159号,22.6879218012875,16
172,通济桥下街108,23.00387640527667,15
71,天研路,23.245443743763435,76
166,美岸路二段,23.28080103784286,21
19,东寺北二路,23.540790201486107,15
23,丽都街163号,23.8087273295,8
130,正东中街80号,23.850855058141377,29
181,雅和南一路,24.14273123764168,15
36,剑和路一段,24.1807205095125,12
97,府河路一段,24.284141891743115,38
111,正东上街181号,24.291747080216666,24
182,雅和南二路,24.359206816421054,19
85,广都中街235号,24.398683015734292,35
119,正东下街240号,24.5934667374,13
13,G213(益州大道南二段),24.721472864909035,44
60,南湖西路,25.019728478473862,44
90,府河路1段-217号,25.060902474773076,26
43,华江路,25.078367717806252,8
112,正东上街192号,25.385173420327774,36
84,广都上街49号,25.60051841255,14
100,新码头北街32,25.69787073943125,8
131,正东中街99号,25.746211152135714,14
190,龙灯山路,25.91215088028718,39
51,华阳大道4段-311号,25.96585250550625,16
137,正西街187号,26.232710885223074,13
26,二江路1段-419号,26.262610967966665,9
39,华新中街101号,26.26516887215294,17
59,南湖大道,26.28657855126191,139
178,锦江路2段,26.809581543640913,90
72,宁波路东段,27.407829589846664,10
136,正西街175号,27.611750429299995,14
158,瑞祥路,27.888924880030334,25
183,顺兴路,28.092235962528804,19
76,广东街,28.2509166483876,17
55,南延线,28.42826757849091,11
120,正东下街91号,28.560277169357146,42
170,蜀州路,28.71418354531346,13
127,正东中街241号,28.75097656838889,9
153,海洋路,28.802672206159393,72
25,二江路1段-307号,28.86928902220833,12
18,万顺路一段,29.122874980110414,36
89,府河路1段-211号,29.174062014708824,34
187,黄龙大道,29.54947022517534,35
138,正西街225号,29.58584478480909,11
125,正东中街223号,29.774202387549998,22
56,南湖东路,29.956309688944007,25
121,正东中街103号,30.105611685600003,8
88,府河路1段,30.22882105724667,15
118,正东下街1号,30.32621215002308,13
75,富民路4段,30.336225446781818,11
184,顺圣路,30.894404950413183,11
54,协泰北街,30.934686101784617,13
69,天府大道南段辅路,31.217316798184008,112
162,绿野路三段,31.311877238915443,25
126,正东中街229号,31.313531583168746,16
3,G108(麓山大道一段),31.32809025962938,140
12,G213(益州大道南一段),31.395378347160417,32
48,华阳大道3段-191号,31.727576045635715,14
40,华新中街162,31.898720056566667,18
4,G108(麓山大道二段),32.15930693013865,72
179,锦江路3段,32.35665538463092,55
57,南湖北路,32.51519355666155,64
28,二江路二段,32.69977996366364,11
11,G213(牧华立交桥),32.74539230535556,18
50,华阳大道4段-303号,32.82219089848837,76
169,荷韵南路,33.116243954013335,8
123,正东中街128号,33.62412876527272,11
124,正东中街134号,33.682045543392306,13
24,二江路1段,33.79481644338948,19
58,南湖南路,33.856630949410906,51
149,江畔路,33.862006207619345,21
41,华新中街220号,33.9705801934,8
168,荷韵东路,34.18568794915,8
6,G213(两江路),34.21402558278927,40
8,G213(天府大道南段),34.36425049963376,230
122,正东中街109号,34.48575578763571,14
101,新码头南街47号,34.687917841975,16
167,老成仁路,34.71111617228637,33
102,新码头街2,34.83519476097333,15
135,正北中街2号,35.11950161443333,9
175,通济桥街10,35.209030068850005,12
186,麓山大道一段,35.227334411796186,21
22,东林寺北巷,35.611684246029995,15
14,G213(老成仁路),35.851422205727786,27
7,G213(天府大道南一段),36.327277666939466,76
95,府河路2段,36.78210907389444,18
5,G108辅路,37.3110590753,11
150,沈阳路东段,37.70160673511459,14
191,龙马路,37.94593108570063,26
154,滨江路,38.04732303125802,26
117,正东下街149号,38.08008822538461,13
16,Y008,38.59931597436478,19
52,华阳绕城路,39.433876920084224,47
21,东山大道一段,39.59927995378896,16
73,定安路,40.27508612078,20
0,,40.30506251015286,25
103,新码头街2号,40.94499511421111,9
155,牧华路三段辅路,41.11326702488602,85
160,祥鹤二街,41.19739556158999,25
139,正西街292号,41.74105517337273,11
20,东寺街,42.05633245663995,17
176,钟灵路,42.11745613966364,11
147,武汉路西段辅路,42.18427934249065,50
65,天府大道南一段辅路,42.21782884761667,31
151,沈阳路西段,42.40434179723017,48
133,正兴湾大桥,42.481132538194295,31
185,麓山大道1段,42.71115165559599,114
156,牧鱼街,42.97856098695,9
67,天府大道南二段辅路,43.47866280747045,11
1,G108(牧华路三段),43.75017696683126,249
108,梓州大道辅路,43.82206142775232,116
180,长顺大道一段,44.48762716563714,35
163,绿野路二段,45.064680612685386,13
106,梓州大道南一段,45.52619884356583,53
37,华府大道3段,45.69087837884568,29
105,梓州大道,47.13036142346506,62
62,双兴大道,47.13532417015416,8
10,G213(沈阳路西段),47.66013451822499,16
35,剑南大道南段辅路,47.782803473249864,105
32,剑南大道南一段,48.87828020246286,110
2,G108(牧华路二段),49.96519803233112,39
107,梓州大道南一段辅路,50.152803390190876,21
146,武汉路西段,51.05167303037612,46
68,天府大道南段,51.08883877612643,53
64,天府大道南一段,52.7250429798531,36
159,益州大道南一段,52.8027648053634,17
9,G213(成仁路),53.01429585885064,18
161,红星路南延线,53.20280265545492,85
132,正公路,53.20476032993218,24
33,剑南大道南一段辅路,54.05138733228512,73
38,华府大道四段,55.47828322972075,9
34,剑南大道南段,56.527492907663444,148
66,天府大道南二段,57.97569584767918,18
177,锦江西43路,60.63700327818552,13
189,黄龙大道一段,60.907773431627774,9
15,X062(剑南大道南段),61.48940456580001,32
188,黄龙大道1段,69.43076434553751,8
53,协中路,70.59161570735,16
