,route,speed
24,云龙路,12.679372509123748
57,天明塘街,14.825054490418184
119,瑞祥路,15.59293091143254
122,祥鹤四街,16.089314612700004
60,富民路3段-101,17.005473739344442
48,南湖路,17.82134135791979
69,广都中街239号,18.24412418805577
114,海昌路,18.492080890973334
116,滨江路,18.751127967130667
137,雅和南一路,18.761588638678337
138,雅和南二路,20.415749656613333
146,龙马路,20.51617048951518
96,正东中街65号,20.715590610963158
126,美岸路一段,20.902553737550175
127,美岸路三段,21.293148550607896
84,正东上街153号,21.353886538328574
104,正西街2号,21.850260210583333
68,广都中街237号,22.340441253978785
13,G213(益州大道南二段),22.5045939501331
145,龙灯山路,22.597688279550002
38,华阳大道4段-311号,22.754247142466667
105,正西街39号,22.764399314662498
131,通济桥下街108,22.900460923062496
67,广都中街235号,23.147971611855006
42,南延线,23.328485639816666
130,蜀州路,23.552162721133982
34,华阳大道2段-230,23.922766902121047
26,剑南大道南一段辅路,24.015449477324484
58,天研路,24.57257428335711
87,正东上街3,24.690958921700002
64,广都上街192号,24.837515565578254
106,正西街60号,24.946788666063636
88,正东上街57号,25.458105690486363
63,广宁路,25.51292335223462
132,通济桥下街198,25.54152911499722
79,新程大道,25.584373404432075
62,广东街153,25.7345129167
107,正西街65号,25.913273506844448
73,府河路1段-73-、71号,25.92253975026666
98,正东中街80号,26.824181681328124
23,二江路二段,27.030997203059083
25,剑南大道南一段,27.090326713835967
74,府河路1段-89-、88-、85-、83号,27.213771827660366
17,东寺北二路,27.322204255927776
47,南湖西路,27.579715032183618
75,府河路一段,27.699224641994547
36,华阳大道4段-153号,28.2036939978375
66,广都上街195号,28.596457068859994
37,华阳大道4段-303号,28.6851701566075
41,协泰北街,28.725504316025003
142,黄龙大道,28.802962865410624
10,G213(沈阳路西段),29.1064912102
113,沈阳路西段,29.118430267414038
18,东寺街,29.332643068522025
33,华新中街97号,29.4205506033875
95,正东中街241号,29.528649326877783
97,正东中街69号,29.713446263626665
112,沈阳路东段,29.737764425695936
128,美岸路二段,29.74312932495367
94,正东中街229号,29.951135023988886
108,正西街90号,30.09512549203182
72,府河路1段-54-、56号,30.140051744628572
65,广都上街193号,30.797364460624998
3,G108(麓山大道一段),30.912485498723925
11,G213(牧华立交桥),31.609287477004347
76,张家巷5号,31.730972613342857
29,剑和路一段,31.7892115473625
61,广东街,31.81403797173905
135,锦江路3段,31.871059947766664
134,锦江路2段,31.931573231336365
6,G213(两江路),31.98667854120555
21,二江路1段,32.202514024766664
111,江畔路,32.25673234896049
102,正西街187号,32.32872393863334
44,南湖北路,32.4297014867092
121,祥鹤二街,32.747162470710094
46,南湖大道,32.980794121277576
45,南湖南路,33.50208103619902
90,正东下街1号,33.59849915081333
71,府河路1段-217号,34.0138065518625
4,G108(麓山大道二段),34.05473324143702
35,华阳大道3段-159号,34.61278530206923
139,顺兴路,35.03172831756875
8,G213(天府大道南段),35.066388434212804
120,益州大道南一段,35.11743568648538
22,二江路1段-307号,35.132092663762506
12,G213(益州大道南一段),35.16837485780837
124,绿野路一段,35.216175560399996
85,正东上街181号,35.27114963605833
0,,35.36736250306827
7,G213(天府大道南一段),35.40245921545573
56,天府大道南段辅路,35.67868378621472
16,万顺路一段,36.0197094041875
110,武汉路西段辅路,36.01994671054412
117,牧华路三段辅路,36.59703032915479
20,东林寺北巷,37.14163365835
86,正东上街192号,37.274448644131816
70,府河路1段-211号,37.35478678066
125,绿野路三段,37.357472222248376
141,麓山大道一段,37.39574260885278
14,G213(老成仁路),37.503330896550004
5,G108辅路,37.84125258518334
118,物联大道,38.50832298608321
39,华阳绕城路,39.07413874037901
19,东山大道一段,40.01560429369437
89,正东下街149号,40.0840378730625
59,定安路,40.121918375465
129,老成仁路,40.208140803654175
91,正东下街91号,40.410026091817656
115,海洋路,40.4478580928198
103,正西街292号,40.802203272
99,正公路,40.83138105814112
109,武汉路西段,40.88960243124636
1,G108(牧华路三段),41.059568775411215
82,梓州大道南一段辅路,41.06875176400924
43,南湖东路,41.333031657329165
77,新码头南街47号,41.41224583576
52,天府大道南一段辅路,41.50733457331023
15,Y008,42.15386179583083
101,正兴湾大桥,42.65535430863667
83,梓州大道辅路,42.68728528465367
49,双兴大道,42.82809060258751
93,正东中街223号,43.887522623900004
78,新码头街2,44.238152978600006
92,正东中街109号,44.451707806818185
81,梓州大道南一段,44.6689013863535
28,剑南大道南段辅路,45.08622073231145
100,正公路辅路,45.417330888147184
133,锦江西43路,45.827904099118264
27,剑南大道南段,45.838605839872145
140,麓山大道1段,47.02588601178253
50,双黄路,47.20079512028333
2,G108(牧华路二段),47.52156187493705
80,梓州大道,47.97051004618859
54,天府大道南二段辅路,48.034219421647144
31,华府大道3段,49.22091173086563
9,G213(成仁路),50.45656544451825
123,红星路南延线,52.47586136373415
55,天府大道南段,53.300143495763635
53,天府大道南二段,55.529135998337495
32,华府大道四段,56.504400513806054
51,天府大道南一段,56.791829237106526
136,长顺大道一段,59.411839713981244
144,黄龙大道一段,63.32052660989445
30,华府大道,64.435043959625
143,黄龙大道1段,67.80188820330002
40,协中路,67.8849684891579
