,route,speed
18,天研路,19.864967619491665
26,通济桥下街198,23.30304712017334
20,广都上街192号,24.77228941512
19,广宁路,27.809363788322216
13,南湖南路,30.563743517813332
10,华阳大道4段-303号,31.44938833095
27,锦江路2段,31.809027503509093
21,广都中街235号,35.15618761618889
12,南湖北路,35.18106455533444
24,牧华路三段辅路,35.9073740873125
28,锦江路3段,37.051293090875
6,万顺路一段,37.359541130268745
31,龙灯山路,37.674521256988896
17,天府大道南段辅路,38.32626612443236
4,G213(天府大道南一段),38.36882753241282
2,G108(麓山大道一段),38.83848907275651
14,南湖大道,39.43202280556667
3,G108(麓山大道二段),40.47216499311372
7,剑南大道南一段,42.49296422381575
5,G213(天府大道南段),42.867830026024286
0,G108(牧华路三段),43.724920903938475
9,剑南大道南段辅路,49.11547715975182
30,黄龙大道,49.88404298049167
11,华阳绕城路,50.661231445866456
23,梓州大道辅路,50.95409322553936
22,梓州大道,52.716186916353784
29,麓山大道1段,53.58699339799314
1,G108(牧华路二段),56.930141316704166
16,天府大道南段,59.10863066059286
8,剑南大道南段,62.212956063445645
25,红星路南延线,63.08845723851112
15,天府大道南一段,65.18271178607291
